Sr.No,Date,City,State,Company,Type,Keynotes
1,"September 28, 2023",Leipzig,SN,Online store soccer club,,"Saxony,1. FC Lokomotive Leipzig"
2,"September 24, 2023",HÃ¼rth,NW,Welfare Association,,"North Rhine-Westphalia, Rhein-Erft-Kreis, Welfare, Social,Church, religion,Caritasverband fÃ¼r den Rhein Erft Kreis e.V.,HUrth,Caritasverband fUr den Rhein Erft Kreis e.V."
3,"September 19, 2023",Berlin,BE,City government,,"Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,berlin.de"
4,"September 19, 2023",Villingen-Schwenningen,BW,University,,"Baden-WÃ¼rttemberg, Schwarzwald-Baar-Kreis, College, University, Research,DHBW Villingen-Schwenningen,Baden-WUrttemberg"
5,"September 18, 2023",Furtwangen im Schwarzwald,BW,University,,"Baden-WÃ¼rttemberg, Schwarzwald-Baar-Kreis, College, University, Research,Hochschule Furtwangen,Baden-WUrttemberg"
6,"September 13, 2023",Deggendorf,BY,Wood processing company,,"Bavaria, Landkreis Deggendorf"
7,September 2023,Bielefeld,NW,Mass transit company,,"North Rhine-Westphalia, Rapid Transit, Mass Transit, Public Transport,Transportation,moBiel GmbH"
8,"September 1, 2023",Bonn,NW,Financial regulatory authority,,"North Rhine-Westphalia, Finance, Money,Administration, Authority, Government, Public sector,Bundesanstalt fÃ¼r Finanzdienstleistungsaufsicht (BaFin),Bundesanstalt fUr Finanzdienstleistungsaufsicht (BaFin)"
9,"September 1, 2023",ZweibrÃ¼cken,RP,School,,"Rhineland-Palatinate,Helmholtz-Gymnasium,ZweibrUcken"
10,August 2023,WÃ¶rrstadt,RP,Association of municipalities,,"Rhineland-Palatinate, Landkreis Alzey-Worms, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Verbandsgemeinde WÃ¶rrstadt,WOrrstadt,Verbandsgemeinde WOrrstadt"
11,August 2023,Cologne,NW,Healthcare Facility,,"North Rhine-Westphalia, KÃ¶ln, Koln, Healthcare,FPZ GmbH"
12,"August 30, 2023",Alzey,RP,City government,,"Rhineland-Palatinate, Landkreis Alzey-Worms, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
13,"August 29, 2023",Malente,SH,Motion technology,,"Schleswig-Holstein, Kreis Ostholstein, Automobile, Automotive, Cars,Kendrion Kuhnke"
14,"August 24, 2023",Lemgo,NW,Special school,,"North Rhine-Westphalia, Kreis Lippe,Astrid-Lindgren-Schule"
15,"August 24, 2023",NeumÃ¼nster,SH,Utility,,"Schleswig-Holstein, Disposal, Utility,Stadtwerke NeumÃ¼nster (SWN),NeumUnster,Stadtwerke NeumUnster (SWN)"
16,"August 17, 2023",Schwerin,MV,State government,,"MecklenburgâWestern Pomerania, Administration, Authority, Government, Public sector,Government"
17,"August 11, 2023",Hannover,NI,Urban railway company,,"Lower Saxony, Transportation,Railway,S-Bahn Hannover / Transdev Hannover"
18,"August 7, 2023",Dortmund,NW,Financial Magazine,,"North Rhine-Westphalia, Finance, Money,ECOreporter"
19,August 2023,Mainz,RP,Retailer,,"Rhineland-Palatinate, Retail,Consumer goods"
20,August 2023,Munich,BY,Book publishing company,,"Bavaria, MÃ¼nchen, Munchen,MÃ¼nchner Verlagsgruppe,MUnchner Verlagsgruppe"
21,"August 1, 2023",Dortmund,NW,Financial Magazine,,"North Rhine-Westphalia, Finance, Money,ECOreporter"
22,August 2023 ?,Dollern,NI,Water utility,,"Lower Saxony, Landkreis Stade, Disposal, Utility,Trinkwasserverband Stader Land"
23,July 2023,Radeberg,SN,Association for deafblinds,,"Saxony, Landkreis Bautzen, Welfare, Social,Healthcare,Church, religion,Taubblindendienst e.V."
24,July 2023 ?,Aschaffenburg,BY,Automotive supplier,,"Bavaria, Automobile, Automotive, Cars,Joyson"
25,July 2023 ?,DÃ¼sseldorf,NW,University,,"North Rhine-Westphalia, College, University, Research,UniversitÃ¤t DÃ¼sseldorf (HHU),DUsseldorf,UniversitAt DUsseldorf (HHU)"
